2023-01-11 21:26:43 INFO  CustomListener:20 - Test execution has started for : testSomething
2023-01-11 21:26:43 ERROR CustomListener:30 - Test execution failed and taking screen shot: testSomething
2023-01-11 21:26:49 INFO  CustomListener:20 - Test execution has started for : verifySubscription
2023-01-11 21:26:51 INFO  CustomListener:25 - Test execution has passed for : verifySubscription
2023-01-11 21:26:57 INFO  CustomListener:20 - Test execution has started for : verifyUserIsAbleToChangePhoneNum
2023-01-11 21:27:00 INFO  CustomListener:25 - Test execution has passed for : verifyUserIsAbleToChangePhoneNum
2023-01-11 21:27:06 INFO  CustomListener:20 - Test execution has started for : verifyUserIsAbleToLogout
2023-01-11 21:27:08 INFO  CustomListener:25 - Test execution has passed for : verifyUserIsAbleToLogout
2023-01-11 22:07:55 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:07:58 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:07:58 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:07:58 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:07:58 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:07:58 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:07:58 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:07:58 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:07:58 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:07:58 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:07:58 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 22:07:58 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()="Login"]
2023-01-11 22:07:58 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //a[text()="Login"]]
2023-01-11 22:07:59 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //a[text()="Login"]]
2023-01-11 22:07:59 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 22:07:59 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@name="email"]
2023-01-11 22:07:59 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 22:07:59 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-password
2023-01-11 22:07:59 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 22:07:59 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@type="submit"]
2023-01-11 22:07:59 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:00 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (03f1f9cbe752200cfc4c9426517b5099)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:00 INFO  CustomListener:20 - Test execution has started for : testSomething
2023-01-11 22:08:00 ERROR CustomListener:30 - Test execution failed and taking screen shot: testSomething
2023-01-11 22:08:02 INFO  WebDriverEvent:40 - navigating tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:05 INFO  WebDriverEvent:45 - Navigated tohttps://naveenautomationlabs.com/opencart/index.php?route=common/home
2023-01-11 22:08:05 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:05 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:05 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:05 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //span[text()="My Account"]
2023-01-11 22:08:05 INFO  WebDriverEvent:156 - getting text from [[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:161 - Got text from [[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //span[text()="My Account"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //a[text()="Login"]
2023-01-11 22:08:05 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //a[text()="Login"]
2023-01-11 22:08:05 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //a[text()="Login"]]
2023-01-11 22:08:05 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@name="email"]
2023-01-11 22:08:05 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@name="email"]
2023-01-11 22:08:06 INFO  WebDriverEvent:84 - Finding elementBy.id: input-password
2023-01-11 22:08:06 INFO  WebDriverEvent:89 - Elelement FoundBy.id: input-password
2023-01-11 22:08:06 INFO  WebDriverEvent:84 - Finding elementBy.xpath: //input[@type="submit"]
2023-01-11 22:08:06 INFO  WebDriverEvent:89 - Elelement FoundBy.xpath: //input[@type="submit"]
2023-01-11 22:08:06 INFO  WebDriverEvent:94 - clicking on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@type="submit"]]
2023-01-11 22:08:07 INFO  WebDriverEvent:99 - clicked on[[ChromeDriver: chrome on WINDOWS (c0b52ff4e8b5edfc04f8b0d3a1ada643)] -> xpath: //input[@type="submit"]]
